pid,label,order,layout,collection,thumbnail,full,題名,書名,所蔵機関,請求記号,画工名,和暦年月日,版元名,版元住所,判,形態,彩色,検印状況,主題,細目,その他書誌事項,manifest,人名,検印,その他固有件名,彫師,地名
0011,万国道戯づくし,0011,nishikie_item,qatar,"/img/derivatives/iiif/images/0011_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0011_001/full/1140,/0/default.jpg",万国道戯づくし,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(11),芳幾戯筆,文久元年８月(18610080550),林家庄五郎,,大判,竪絵 １枚,錦絵,あり,戯び,,西洋人鼡を捕えようとする図、大ダコのきものを見てこわがる西洋人の図、犬に端をくわえられた西洋婦人の図、西洋人が子供のもっているおもちゃをくれという図,/img/derivatives/iiif/0011/manifest.json,,酉八改,,,
0012,浮世はゆめだゆめだ,0012,nishikie_item,qatar,"/img/derivatives/iiif/images/0012_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0012_001/full/1140,/0/default.jpg",浮世はゆめだゆめだ,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(12),なし,文久３年４月カ(18630040551),,,大判,竪絵 １枚,錦絵,なし,尊皇攘夷,風刺画,市中の物持ちが思案顔し、日傭取りと船乗りが酒宴をひらいている画、０３８０－１７－４－（２５）も同一,/img/derivatives/iiif/0012/manifest.json,,,日傭取り/船乗り/生麦事件,,
0013,甲陽川中島大合戦,0013,nishikie_item,qatar,"/img/derivatives/iiif/images/0013_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0013_001/full/1140,/0/default.jpg",甲陽川中島大合戦,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(13),一魁斎芳年筆印,慶応３年７月(18670070550),増田屋,ナ,大判,竪絵 ３枚続,錦絵,あり,長州征伐（禁門の変）／歴史画,,山は筑波山,/img/derivatives/iiif/0013/manifest.json,武田信繁/武田耕雲斎,卯七改,,,
0014,おそろししのけだもの,0014,nishikie_item,qatar,"/img/derivatives/iiif/images/0014_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0014_001/full/1140,/0/default.jpg",おそろししのけだもの,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(14),なし,慶応元年カ(18650550551),,,大判,竪絵 ２枚続,錦絵,なし,長州征伐（禁門の変）,風刺画,,/img/derivatives/iiif/0014/manifest.json,徳川慶喜/松平容保,,,,
0015,（武士と西洋人清国人の首引の図）,0015,nishikie_item,qatar,"/img/derivatives/iiif/images/0015_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0015_001/full/1140,/0/default.jpg",（武士と西洋人清国人の首引の図）,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(15),なし,文久３年４月カ(18630040551),,,大判,竪絵 １枚,錦絵,なし,尊皇攘夷,風刺画,歌詞よりして英国艦隊対幕交渉の時のもの、「町々こまるや、なんのかんのとこまる、江戸がいやなら田舎へちょいとごされ、おふやこまった、ちゃうちゃうさふどふや、いきりすがぢゃアまアて、よこはまで、さわぐのハ、家主地主に廓うち、おっちょこちょいのちょい、こっちへこいのこい,/img/derivatives/iiif/0015/manifest.json,,,生麦事件/首引,,
0016,世の中天眼鏡,0016,nishikie_item,qatar,"/img/derivatives/iiif/images/0016_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0016_001/full/1140,/0/default.jpg",世の中天眼鏡,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(16),歌重（三代目広重）画,明治元年閏４月(18680045550),角本屋金次郎（角金）,,大判,竪絵 ２枚続,錦絵,あり,戊辰戦争,風刺画,和宮、仙台、天璋院、徳川慶喜、板倉勝静、彦根、土佐？、前列は水戸？、もう一人は不明,/img/derivatives/iiif/0016/manifest.json,,辰閏改,占師,,
0017,昔はなし舌切雀,0017,nishikie_item,qatar,"/img/derivatives/iiif/images/0017_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0017_001/full/1140,/0/default.jpg",昔はなし舌切雀,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(17),芳盛戯画,元治元年８月(18640080550),古賀屋勝五郎,,大判,竪絵 ３枚続,錦絵,あり,長州征伐（禁門の変）,風刺画,,/img/derivatives/iiif/0017/manifest.json,,子八改,つづら/化物,,
0018,鎌倉栄餅舂,0018,nishikie_item,qatar,"/img/derivatives/iiif/images/0018_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0018_001/full/1140,/0/default.jpg",鎌倉栄餅舂,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(18),応需立祥（二代目広重）戯筆,慶応３年１２月(18670120550),金鱗堂,,大判,竪絵 ２枚続,錦絵,あり,王政復古,風刺画,,/img/derivatives/iiif/0018/manifest.json,,卯十二改,,,
0019,正物偽物天狗の寄合,0019,nishikie_item,qatar,"/img/derivatives/iiif/images/0019_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0019_001/full/1140,/0/default.jpg",正物偽物天狗の寄合,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(19),一英斎芳艶画,文久３年５月(18630050550),,,大判,竪絵 ３枚続,錦絵,あり,尊皇攘夷,風刺画,象は朝廷か？,/img/derivatives/iiif/0019/manifest.json,,亥五改,天狗/象,松嶋彫政,
0020,大酒ノ大会,0020,nishikie_item,qatar,"/img/derivatives/iiif/images/0020_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0020_001/full/1140,/0/default.jpg",大酒ノ大会,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(20),一勇斎国芳画,安政５年８月(18580080550),,,大判,竪絵 ２枚続,錦絵,あり,安政大獄,風刺画,,/img/derivatives/iiif/0020/manifest.json,,午八,,,
0021,布袋さん唐子遊,0021,nishikie_item,qatar,"/img/derivatives/iiif/images/0021_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0021_001/full/1140,/0/default.jpg",布袋さん唐子遊,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(21),なし,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,子供絵,唐子の紋が大名をあらわしている。薩摩、長州、紀州、土佐、肥後、藤堂、阿波、福井、因州、尾張、岡山か？,/img/derivatives/iiif/0021/manifest.json,,,布袋/唐子,,
0022,幼童遊び子をとろ子をとろ,0022,nishikie_item,qatar,"/img/derivatives/iiif/images/0022_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0022_001/full/1140,/0/default.jpg",幼童遊び子をとろ子をとろ,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(22),応需広重（三代目）戯筆,明治元年２月(18680020550),丸屋平次郎（丸平）,,大判,竪絵 ２枚続,錦絵,あり,戊辰戦争,子供絵,０３８０－１７－２－（２６）も同一、薩摩、尾張、土佐、？、藤堂、岡山、彦根、長州、明治天皇、会津、庄内、桑名、姫路、徳川慶喜,/img/derivatives/iiif/0022/manifest.json,,辰二改,手習草子/子をとろ子をとろ,,
0023,土佐画巻物之写,0023,nishikie_item,qatar,"/img/derivatives/iiif/images/0023_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0023_001/full/1140,/0/default.jpg",土佐画巻物之写,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(23),一勇斎国芳,万延元年１２月(18600120550),越嘉,,大判,竪絵 ３枚続,錦絵,あり,戯び,風刺画,,/img/derivatives/iiif/0023/manifest.json,,申十二改,,,
0024,源平首引戯図,0024,nishikie_item,qatar,"/img/derivatives/iiif/images/0024_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0024_001/full/1140,/0/default.jpg",源平首引戯図,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(24),なし,（明治元年）(18680550550),,,大判,竪絵 ３枚続,錦絵,なし,戊辰戦争,風刺画,「けんへいくびひきたわむれのづ」、平敦盛、平忠度、平宗盛、平知盛、平教経、平景清、越中前司盛俊、源義経、源範頼、畠山重忠、和田義盛、源頼朝、北条時政、梶原景時,/img/derivatives/iiif/0024/manifest.json,,,首引,,
0025,狂画芋だこ合戦のづ,0025,nishikie_item,qatar,"/img/derivatives/iiif/images/0025_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0025_001/full/1140,/0/default.jpg",狂画芋だこ合戦のづ,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(25),（狂斎）,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,風刺画,,/img/derivatives/iiif/0025/manifest.json,,,芋酒屋/タコ,,
0026,名物合戦之図,0026,nishikie_item,qatar,"/img/derivatives/iiif/images/0026_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0026_001/full/1140,/0/default.jpg",名物合戦之図,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(26),なし,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,風刺画,土佐、彦根、薩摩、尾州、紀州、朝廷、芸州、徳川慶喜、庄内、仙台、会津,/img/derivatives/iiif/0026/manifest.json,,,,,
0027,諸色大合戦,0027,nishikie_item,qatar,"/img/derivatives/iiif/images/0027_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0027_001/full/1140,/0/default.jpg",諸色大合戦,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(27),なし,（明治元年）(18680550550),,,大判,竪絵 ３枚続,錦絵,なし,戊辰戦争,風刺画,米沢、会津、庄内、仙台、姫路、桑名、南部、大垣、土佐、長州、薩摩、芸州、紀州、藤堂、彦根、黒田、尾張、朝廷,/img/derivatives/iiif/0027/manifest.json,,,,,
0028,当世道外遊,0028,nishikie_item,qatar,"/img/derivatives/iiif/images/0028_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0028_001/full/1140,/0/default.jpg",当世道外遊,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(28),なし,文久３年カ(18630550551),,,大判,竪絵 ３枚続,錦絵,なし,金融／貨幣,風刺画,四文銭、青銭、白銭、文銭、文久銭が天保銭にまけている図、文久銭は文久３年より鋳造,/img/derivatives/iiif/0028/manifest.json,,,文久銭,,
0029,銭太平金相場合戦,0029,nishikie_item,qatar,"/img/derivatives/iiif/images/0029_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0029_001/full/1140,/0/default.jpg",銭太平金相場合戦,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(29),歌重（三代目広重）戯画,明治元年２月(18680020550),大貞,,大判,竪絵 ２枚続,錦絵,あり,ええじゃないか／世直し／金融／物価,風刺画,,/img/derivatives/iiif/0029/manifest.json,,辰二改,,,
0030,芋喰僧正魚説法,0030,nishikie_item,qatar,"/img/derivatives/iiif/images/0030_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0030_001/full/1140,/0/default.jpg",芋喰僧正魚説法,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(30),一恵斎芳幾戯画印,安政６年１２月(18590120550),山本屋平吉,,大判,竪絵 ２枚続,錦絵,あり,社会事件／珍説,風刺画,仮名垣魯文の狂歌、岳亭春信の戯誌、安政６年１１月「タコ大いにつれ、魚店毎にこの魚を商ふ」と武江年表にあり、芋酒屋（おでんや）でタコを出したからであろう,/img/derivatives/iiif/0030/manifest.json,岳亭春信/仮名垣魯文,未十二改,タコ,,
0031,官金取立寄合,0031,nishikie_item,qatar,"/img/derivatives/iiif/images/0031_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0031_001/full/1140,/0/default.jpg",官金取立寄合,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(31),なし,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,風刺画,とるとれぬういた浮世の其中を杖にてわたる一名城かた、明治天皇、薩摩、長州,/img/derivatives/iiif/0031/manifest.json,,,江戸開城/座頭,,
0032,道化六歌仙,0032,nishikie_item,qatar,"/img/derivatives/iiif/images/0032_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0032_001/full/1140,/0/default.jpg",道化六歌仙,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(32),なし,（明治元年３月）(18680030550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,風刺画,清正、黒ぬり、七五三、はかた、勝魚節、大根、いせゑひ、橙、二八宝丁、桜橋などの文字あり、墨で「慶応戊辰４月３日購賈貳伯拾陸孔」とあり、長州、薩摩、勅使、和宮、輪王寺宮、土佐、尾張、会津,/img/derivatives/iiif/0032/manifest.json,,,,,
0033,諸人成田山参詣之図,0033,nishikie_item,qatar,"/img/derivatives/iiif/images/0033_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0033_001/full/1140,/0/default.jpg",諸人成田山参詣之図,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(33),よし藤画（芳藤）,明治元年５月(18680050550),丸屋平次郎（丸平）,,大判,竪絵 ２枚続,錦絵,あり,戊辰戦争,風刺画,,/img/derivatives/iiif/0033/manifest.json,,辰五改,浪花講/江戸講,,
0034,四天王鬼賊退治,0034,nishikie_item,qatar,"/img/derivatives/iiif/images/0034_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0034_001/full/1140,/0/default.jpg",四天王鬼賊退治,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(34),なし,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,子供絵,和宮、尾張、長州、薩摩、藤堂、土佐,/img/derivatives/iiif/0034/manifest.json,,,,,
0035,四天王鬼賊退治,0035,nishikie_item,qatar,"/img/derivatives/iiif/images/0035_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0035_001/full/1140,/0/default.jpg",四天王鬼賊退治,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(34),なし,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,子供絵,和宮、尾張、長州、薩摩、藤堂、土佐,/img/derivatives/iiif/0035/manifest.json,,,,,
0036,四天王鬼賊退治,0036,nishikie_item,qatar,"/img/derivatives/iiif/images/0036_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0036_001/full/1140,/0/default.jpg",四天王鬼賊退治,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(34),なし,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,子供絵,和宮、尾張、長州、薩摩、藤堂、土佐,/img/derivatives/iiif/0036/manifest.json,,,,,
0037,四天王鬼賊退治,0037,nishikie_item,qatar,"/img/derivatives/iiif/images/0037_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0037_001/full/1140,/0/default.jpg",四天王鬼賊退治,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(34),なし,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,子供絵,和宮、尾張、長州、薩摩、藤堂、土佐,/img/derivatives/iiif/0037/manifest.json,,,,,
0038,四天王鬼賊退治,0038,nishikie_item,qatar,"/img/derivatives/iiif/images/0038_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0038_001/full/1140,/0/default.jpg",四天王鬼賊退治,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(34),なし,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,子供絵,和宮、尾張、長州、薩摩、藤堂、土佐,/img/derivatives/iiif/0038/manifest.json,,,,,
0039,四天王鬼賊退治,0039,nishikie_item,qatar,"/img/derivatives/iiif/images/0039_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0039_001/full/1140,/0/default.jpg",四天王鬼賊退治,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(34),なし,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,子供絵,和宮、尾張、長州、薩摩、藤堂、土佐,/img/derivatives/iiif/0039/manifest.json,,,,,
0040,世の中持寄楽み鍋,0040,nishikie_item,qatar,"/img/derivatives/iiif/images/0040_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0040_001/full/1140,/0/default.jpg",世の中持寄楽み鍋,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(35),玉斎画,明治元年８月(18680080550),木屋作太郎,,大判,竪絵 ２枚続,錦絵,あり,戊辰戦争,風刺画,薩摩、土佐、尾張、彦根、藤堂、輪王寺宮,/img/derivatives/iiif/0040/manifest.json,,辰八改,,,
0041,（江川隼太永修脱走兵を鎮撫するの図）,0041,nishikie_item,qatar,"/img/derivatives/iiif/images/0041_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0041_001/full/1140,/0/default.jpg",（江川隼太永修脱走兵を鎮撫するの図）,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(36),応需蜂須賀国明卍,明治１３年１２月届(18800120550),松木平吉,両国吉川町２,大判,竪絵 ３枚続,錦絵,なし,戊辰戦争,,説明あり、舟橋で鎮撫（幕府軍事掛鎮静方頭取）後に静岡に移住して一等勤番組、三方原居住、開墾に従事、明治孝説録にあり,/img/derivatives/iiif/0041/manifest.json,江川隼太,,,彫定門人原田彫末,
0042,（金太郎勢桃太郎勢相撲の図）,0042,nishikie_item,qatar,"/img/derivatives/iiif/images/0042_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0042_001/full/1140,/0/default.jpg",（金太郎勢桃太郎勢相撲の図）,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(37),なし,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,子供絵,,/img/derivatives/iiif/0042/manifest.json,金太郎/桃太郎,,,,
0043,（大錫杖を武士２名倒さんとするの図),0043,nishikie_item,qatar,"/img/derivatives/iiif/images/0043_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0043_001/full/1140,/0/default.jpg",（大錫杖を武士２名倒さんとするの図),維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(38),なし,（明治元年カ）(18680550551),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争／当物,風刺画,,/img/derivatives/iiif/0043/manifest.json,,,,,
0044,見立十二ヶ月,0044,nishikie_item,qatar,"/img/derivatives/iiif/images/0044_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0044_001/full/1140,/0/default.jpg",見立十二ヶ月,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(39),なし,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,風刺画,,/img/derivatives/iiif/0044/manifest.json,,,,,
0045,海上安全万代寿,0045,nishikie_item,qatar,"/img/derivatives/iiif/images/0045_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0045_001/full/1140,/0/default.jpg",海上安全万代寿,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(40),応需周麿（暁斎初名）,文久３年７月(18630070550),大金,築地,大判,竪絵 ３枚続,錦絵,あり,将軍上洛,,,/img/derivatives/iiif/0045/manifest.json,,亥七改,蒸気船,,
0046,千代寿士大平,0046,nishikie_item,qatar,"/img/derivatives/iiif/images/0046_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0046_001/full/1140,/0/default.jpg",千代寿士大平,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(41),応需周麿,文久３年６月(18630060550),大金,築地,大判,竪絵 １枚,錦絵,あり,将軍上洛,年中行事,,/img/derivatives/iiif/0046/manifest.json,,亥六改,高砂（謡曲）,,
0047,千代寿豊年季,0047,nishikie_item,qatar,"/img/derivatives/iiif/images/0047_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0047_001/full/1140,/0/default.jpg",千代寿豊年季,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(42),応需周麿,文久３年６月(18630060550),大金,築地,大判,竪絵 １枚,錦絵,あり,将軍上洛,,,/img/derivatives/iiif/0047/manifest.json,,亥六改,,,
0048,千代寿工はんゑい,0048,nishikie_item,qatar,"/img/derivatives/iiif/images/0048_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0048_001/full/1140,/0/default.jpg",千代寿工はんゑい,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(43),応需周麿,文久３年６月(18630060550),大金,築地,大判,竪絵 １枚,錦絵,あり,,,,/img/derivatives/iiif/0048/manifest.json,,亥六改,手斧始め,,
0049,千代寿商はん昌,0049,nishikie_item,qatar,"/img/derivatives/iiif/images/0049_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0049_001/full/1140,/0/default.jpg",千代寿商はん昌,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(44),応需周麿,文久３年６月(18630060550),大金,築地,大判,竪絵 １枚,錦絵,あり,将軍上洛,,,/img/derivatives/iiif/0049/manifest.json,,亥六改,,,
0050,百器夜行,0050,nishikie_item,qatar,"/img/derivatives/iiif/images/0050_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0050_001/full/1140,/0/default.jpg",百器夜行,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(45),応需魁斎芳年写,慶応元年９月カ（うすくて不確定）(18650090551),あれどもよめず,,大判,竪絵 ２枚続,錦絵,あり,長州征伐（禁門の変）,,,/img/derivatives/iiif/0050/manifest.json,,丑九改カ,化物,,
